"t" "Y.1" "Y.2" "Y.3" "Y.4" "Y.5"
"1" 0 99.9232 5.7485 0.6644 -0.4988 0.5019
"2" 2 83.3796 16.0905 3.4184 -0.1619 4.3231
"3" 4 67.6461 17.6714 6.1861 0.4555 3.4022
"4" 6 58.3199 24.0947 7.009 1.3153 7.0712
"5" 8 47.587 35.4656 6.4072 0.715 9.0156
"6" 10 42.3778 34.0976 6.0112 1.0316 14.0637
"7" 12 34.4176 38.188 6.0135 0.8093 14.7598
"8" 14 29.2941 56.7453 5.7462 1.24 15.5634
"9" 16 24.2075 49.4543 4.8968 1.3849 21.834
"10" 18 21.2213 51.3734 5.2268 1.7867 19.4716
"11" 20 18.9238 55.3147 4.5223 2.6202 22.053
"12" 22 13.9119 65.6723 4.4736 2.4025 20.5307
"13" 24 14.0519 64.1892 4.3354 2.6657 23.0909
"14" 26 9.6691 62.9989 4.8074 3.1438 20.2343
"15" 28 8.018 59.7792 3.9934 2.7481 23.0476
"16" 30 7.6965 58.3577 3.6449 3.8192 25.8571
"17" 32 5.7062 54.7404 4.2607 3.1089 25.4888
"18" 34 5.6596 58.5899 3.6794 3.541 25.3896
"19" 36 5.4871 65.4693 3.6679 3.5918 25.7453
"20" 38 2.5278 70.9596 3.933 3.8858 22.8982
"21" 40 5.3682 74.6359 3.7192 4.1048 25.37
"22" 42 3.159 66.7303 3.3373 4.0423 25.6204
"23" 44 -0.3612 72.2608 3.9413 4.9181 22.8085
"24" 46 3.1431 68.0772 3.5597 4.5132 22.3135
"25" 48 0.7453 66.8462 3.9621 4.1373 25.5405
"26" 50 0.8502 63.7415 3.8063 4.9193 24.9146
"27" 52 1.4089 71.1166 3.7259 4.2357 21.76
"28" 54 1.7045 71.7744 3.3515 4.899 23.7245
"29" 56 0.6204 61.9383 3.8477 5.561 22.3485
"30" 58 0.3335 63.1572 3.3009 5.7315 26.3752
"31" 60 1.6638 62.4002 3.1931 5.2699 23.3077
"32" 62 1.7851 66.0386 3.3138 5.79 25.2986
"33" 64 0.3481 61.4702 3.3343 5.6509 22.9967
"34" 66 0.088 59.5469 3.2485 5.9959 21.0902
"35" 68 -0.9691 70.1917 3.3433 5.8771 27.0169
"36" 70 -0.1861 66.933 3.1346 6.0566 20.7277
"37" 72 1.1325 74.0641 3.7472 6.0475 22.177
"38" 74 1.7875 61.0552 3.1733 5.8029 18.2692
"39" 76 -0.6303 69.7692 3.3849 6.6513 22.7722
"40" 78 0.8757 62.7373 2.7142 6.6476 20.6708
"41" 80 -0.5705 61.1083 3.4895 6.077 23.3414
"42" 82 -0.3324 69.8406 3.1186 6.6764 22.7215
"43" 84 0.2536 63.2522 3.2815 7.3864 21.1594
"44" 86 -1.1912 65.0752 3.2217 5.9924 23.3834
"45" 88 0.3408 68.4797 2.7571 6.9196 21.9287
"46" 90 0.6937 75.7468 3.6325 7.5853 21.6415
"47" 92 1.6548 70.4596 2.7858 6.9878 25.7793
"48" 94 -0.2572 73.3611 3.0593 7.6976 21.6229
"49" 96 1.5903 72.4284 2.8289 8.1584 25.5773
"50" 98 -0.5075 63.7588 3.3313 8.1676 23.3128
"51" 100 -0.836 71.0337 3.1666 7.638 20.2517
